date,trend,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,HL12,HL13,HL14,HL15,HL16,HL17,HL18,HL19,HL20
10/26/2016,1, Illegals Pouring Into US in Hopes of Hillary Winning Election, Chinese Billionaire Employing Thousands at New Factory in Ohio," WikiLeaks: Clinton Confidant Raised Money for Foundation, Got Bill Paid Gigs"," Rupert Murdoch Says He Wants Megyn Kelly, Bill O'Reilly to Stay at Fox News", Gallup Poll: Support For Ban on Assault Weapons at an All-Time Low, 1 Out of 4 Full-Time Teachers Nationally Is Chronically Absent, Gene Study: 'Patient Zero' Was Not the Cause of US HIV Epidemic, Sen. Ted Cruz: Can Have Less Than 9 SCOTUS Justices, Breakthrough Listen Project Funded by Zuckerberg to Search for Aliens Around Weird Star, Netflix CEO: TV's Future Could Lie in Hallucinogenic Pills, Facebook Says Users Can't Stop It From Using Biometric Data, Children with DNA From 3 Parents Are Healthy 15 Years After Birth, James Clapper: 'Non-State Actors' May Be Behind Cyber Attack, Jan Brewer: Obama Put Americans in 'Terrible Situation' With Obamacare, US Abstains in UN Vote on Cuba Embargo for the First Time, Rodrigo Duterte: US Troops Out of Philippines in 2 Years, ICI: Largest Exodus in 5 Years Hits Stock Mutual Funds, Police Investigate Vandalizing of Trump's Hollywood Star Caught on Video," Bridge-gate: Christie Says he Never Knew, Other Say Different", Department of Defense Report: $58B 'Sunk' on Canceled Weapons
10/25/2016,0, Putin Springs Leaks of His Own as Russian Assange Airs Secrets, Judge Orders Criminal Contempt Trial for Arizona Sheriff Arpaio, Voter Group Says Dead People Likely Registered, Justin Timberlake Stirs Legal Controversy After Taking 'Ballot Selfie'," Fearing Election Day Trouble, Some US Schools Cancel Classes", Paul Beatty Becomes First American to Win Britain's Prestigious Man Booker Prize, Al D'Amato: FBI's James Comey Should Resign Over Email Probe, 'Solar Winds' Spur Geomagnetic Storm That May Affect Power, Miami's Homegrown Zika Tally Still Rising, WikiLeaks: Obama Knew About Hillary's Private Server When He Said He Didn't, GOP Slam Hikes in Obamacare Premiums: 'A Death Spiral', Pentagon's Robots Could Kill on Their Own, Forcing Soldiers to Repay Bonuses Creates Bipartisan Outrage, Clapper Says Getting North Korea to Denuclearize 'Probably a Lost Cause', Mexican President: Trump Meeting 'Could Have Been Done in a Better Way'," Mormons Preach Love for LGBT Members, But No Doctrinal Shift", McCarthy: Pentagon's Call for Bonus Repayment 'Disgraceful', Trump: Obamacare a 'Big Lie' and Hillary Will Raise Taxes to Keep It, Obama's 2013 Golf Trip That Included Tiger Woods Cost $3.6 Million, US Judge OKs $14.7B VW Diesel Settlement; Buyback Starts in November
10/24/2016,0, Prosecutors Replaced in NYPD Chokehold Killing, Late Tom Hayden - Career '60s Radical, Astronomers: Strange Messages Coming From Stars Are Probably From Aliens, Christians in Iraq Celebrate After Church Liberated From ISIS, SpaceX's Elon Musk Elaborates on Plan to Colonize Mars," Conservatives Outraged By Obamacare Rates, Broken Promises", Project Veritas' O'Keefe: Clinton Violated FEC Laws, Harry Reid Has 'Set the Senate' to Get Clinton Court Nominees Approved, UK Bankers' Association CEO: Lenders Will Leave in 2017 Due to Brexit, Bobby Vee Dies: 1960s Pop Star Sang 'Take Good Care of My Baby', Obama Administration Confirms Double-Digit Premium Hikes, Jack Chick Dies: Pioneering Publisher of Illustrated Gospel Tracts Was 92, Content not available, Clinton Adviser on Paid Speeches to Goldman Sachs: 'It's Pretty Bad', China's HNA to Buy $6.5 Billion Hilton Stake From Blackstone," Enter Name, Wait 10 Seconds – Google Will Not Dare Show You This", Justice Breyer: Supreme Court Justices Are Not 'Junior League Politicians', Eli Manning's 'Trump' Audible Only Called by Washington Post, Buses Start Moving Migrants out of French Camp, AT&T CEO Randall Stephenson: Merger 'Vertical' Between Non-Competing Companies
10/21/2016,0, WSJ: Facebook Employees Pushed to Have Trump Anti-Muslim Posts Removed," Philippines' Duterte, Back From China Trip, Says He's Not Severing US Ties", Obama Nixes Twerking at Final White House Musical Event, 45 Celebs Sue News Corp Over Fake Sheikh, Russian Indicted on Charges He Hacked LinkedIn, Petition Created to Include Clarence Thomas in African-American Museum, WikiLeaks to Supporters: 'Stop Taking Down the US Internet', Ex-NSA Worker Accused of Stealing Secrets to Stay in Custody, Clinton Emails Made Public Show Abedin's Role as Top Aide," Not Waiting for Feds, Some States Battle Rising Pharma Costs Head On", Adviser: I Told Christie His Aides Knew of Bridge-gate Plot, Gretchen Carlson to Testify Before Congress, Trump Wants Campaign Groping Claims Excluded From University Trial, 3 States Say They Denied Russia Request to Monitor Election, Gen. Petraeus: 'Real Battle' Looms After Fight to Retake Mosul From ISIS Ends, WSJ: AT&T in Advanced Talks to Buy Time Warner, Gizzi: House Committee Vows to Pursue Hillary's Private Emails, Justice Ruth Bader Ginsberg Faces the Music in Classic Opera," Cyberattack Hits Twitter, Spotify, Amazon", Planet Nine May Be Out There Tilting Solar System
10/20/2016,0, Clinton Leads Left-Leaning Top 10 'Islamic Money in Politics' List, Michelle Obama: Trump 'Threatening the Very Idea of America Itself'," North Korea Missile Fails After Launch, Again"," Sen. Jeff Flake: If Hillary Wins, Hold Garland Confirmation Hearings", Poll: Kaepernick Anthem Protests Have Fans Turning Off NFL," Video: Tesla Car Drives, Parallel Parks By Itself in Silicon Valley", Obama: Obamacare Worked!, US Service Member Killed in Northern Iraq, Vet's Suicide Prompts Call for Investigation Into Colorado VA 'Wait Lists', Report: 58 Toddler-Related Shootings in 2016, DePaul University to Student GOP: No 'Unborn Lives Matter' Posters, Trump: 'I'll Accept Election Results . . . If I Win'," Iran Still Kidnapping US Citizens, Wants 'Billions' in Ransom"," Duterte Aligns Philippines With China, Says US Has Lost", Republicans to Obama: Punish Russia for Violating Key Nuclear Treaty, Exercise May Help Existing Memory Loss," Unemployment Benefit Claims Rise by 13,000 but Stay Near 43-year Low"," Starbucks Opening 1,000 Reserve Cafes in Bid to Go Upscale", US Vows All-Out Defense Against 'Grave' North Korean Threat, Iraqi PM: Mosul Offensive Going Faster Than Planned
10/19/2016,1, Beauty Companies Capitalizing on Generation Z's Gender Revolution, Stephen Hawking Fires Dire Warning Shots on Artificial Intelligence, Tesla: All Our Cars Are Self-Driving Now," Google Signs CBS, in Talks With Others for Major Web TV Push"," Debt Up $236,991,525,500.74 Since First Trump-Clinton Debate", Christie to Appear in Court on Activist's Bridge-gate Complaint, Grassley: GOP Can't Stonewall a Clinton Supreme Court Pick, CDC: 3 Sex-Spread Diseases Hit Another Record High, Gallup: Record High 60 Percent of Americans Back Legal Pot, Clinton's State Dept. Gatekeeper Embroiled in Email Scandal, Blue Cross: Obamacare Cost Will Jump 24 Percent in North Carolina Next Year, Ex-Fox Chief Roger Ailes to Be Subject of TV Mini-Series, New Toothpaste May Reduce Heart Attack Risk, US Officials: Russia Continuing With Missile Program That Violates INF Treaty, Amy Schumer: Sorry I Talk About What I Believe in," Average Student Debt Surpasses $30,000", 'Birther Judge' Kreep Getting Kicked Off Bench For Behavior?," Man in Afghan Uniform Kills 1 US Soldier, 1 US Civilian", WikiLeaks: Mark Zuckerberg Consulted Clinton Camp to 'Learn' About Politics, Study: Americans Work 25% More Than Europeans
10/18/2016,0, Justice Sotomayor: Nation Has Lost Its Civility; I Wanted to Take a Bat to Scalia, Michael Hayden: Russian Hack Is 'Honorable State Espionage', Ecuador Admits It Cut Off Internet for Wikileaks' Assange, Edwin Meese Backs Death Row Inmate's Effort for Case Review, Undercover Videos: Dem Operatives Seek to Incite Violence at Trump Rallies, FBI: Number of Officers Killed on Duty Decreased in 2015," Outlobbying Wall Street 2-to-1, Silicon Valley Takes Washington", Report: Russian Flotilla En Route to Syria Via English Channel, Trump Childhood Home to Be Auctioned, Robot Pilots May Someday Fly Passenger and Cargo Planes, DiCaprio Says He's Cooperating with DOJ in Malaysian Scandal, Curt Schilling Eyes US Senate Run Against Elizabeth Warren, Chicago Operative Would 'Pressure' FLOTUS to Run for Office in Illinois, Mexican Judge Who Handled El Chapo's Cartel Cases Assassinated, Peshmerga General: Battle of Mosul Could Last Two Months, Clinton Camp Stamped Out Mention of Israel in Speech to 'Dem Activists', Rep. Joaquin Castro Refuses to Defend Kennedy on FBI Claims, Obama on Hillary Email Controversy: 'Accounts Just Not True', WikiLeaks: Trump Biographer Offered Clinton Camp Interview Tapes, Lanny Davis: Kennedy Should 'Absolutely' Be Fired If He Broke Law
10/17/2016,1, Four Big Ways Presidential Polls Could Be Wrong, Judge Orders IRS to Process Tea Party Applications By Nov. 11, Bob Dylan Doesn't Return Any Messages Left by Nobel Panel About His Prize, YouGov Poll: Millennials Misinformed About Communism, Billy Bush's Departure From 'Today' Is Now Official, Emails: Clinton Campaign Tried to Keep Donor George Soros 'Happy', High School Graduation at Record Rate for 2014-15 School Year, Retired Marine Gen. James Cartwright Guilty of Lying in Leak Investigation," WikiLeaks: John Podesta Emailed Astronauts, Musicians About UFOs", McCain Suggests GOP Would Oppose Clinton Supreme Court Picks, Divorce Is Destroying Retirement," Clarke Defends 'Pitchforks and Torches' Tweet, Defies 'Weepy' Media", Man Gets 20 Years for Road Rage Incident Against George Zimmerman, Luke Perry AARP Magazine Cover Makes '90210' Fans Feel Old, Gun Control Group's Satirical Video: Keep Toddlers Away From Our Guns, Austria to Tear Down Hitler Birth House, Target Clown Masks Pulled From Shelves After Threats Around Country, Artificial Sweeteners Found to Reduce Fertility, Gen. Flynn: Iran Will Be the 'Big Winners' Once Mosul Falls, Homeland Security Records 23 Percent Rise in Illegal Immigration
10/14/2016,1, Nevada Approves Record $750 Million Subsidy for NFL Stadium, Watchdog Report: Secret Service Failed to Fix Database Security Problems After Chaffetz Leak, Twitter Charts Solo Path as Salesforce Rules Out Takeover," Trump Lashes Out at Accusers, Says Allegations Are All Lies", Hacked Emails Raise Possibility of Clinton Foundation Ethics Breach, John Podesta's Tweets Tweak WikiLeaks' Julian Assange, Donald Trump Denies 'Apprentice' Accuser's Groping Claims, North Carolina Democrats Win Extension of Voter Registration Deadline, Biden: 'We're Sending a Message' to Putin, Cruz Blasts UN Resolution That Calls Israel 'Occupying Power', Three Kansas Men Charged With Plotting Attack on Somali Community, The List: Women Who Accused Trump of Sexual Assault, US Bans Samsung Galaxy Note 7 Smartphones From Air Travel, Sons of Executed Spies Julius and Ethel Rosenberg Ask Obama to Pardon Mom, US Justice Ginsburg Backtracks on Criticism of NFL's Kaepernick," Pope Francis Gives $100,000 to Hurricane-Ravaged Haiti", WashPost: 'Economic Growth Actually Kills People', Financial Times: Salesforce Abandons Twitter Bid, Maine Gov. Paul LePage Cautions Against 'Deadly' Marijuana in New Video, Mike Huckabee: The UN 'Utterly Nuts' for Slamming Israel
10/13/2016,0, Obama Hits 'Swamp of Crazy' Republicans as Trump Falters," Report: Putin Possibly Readying for World War, Recalling Russians to Motherland", Christie Faces Official Misconduct Complaint for Bridge Case, FBI Unveils Online 'Use of Force' Database to Track Police Shootings, Hillary Repeatedly Answers 'Do Not Recall' in Email Lawsuit Testimony, Judicial Watch Releases New Batch of Huma Abedin State Dept. Emails, New Zika 'Hot Zone' Designated in Miami, Putin Ally Tells Americans: Vote Trump or Face Nuclear War, White House to Trump: Don't Talk About Michelle Obama, Internet Erupts Over New Trailer for 'Rogue One: A Star Wars Story', Amazon to Hire 20 Percent More Holiday Workers to Meet Growing Demand, WSJ: Economists Believe Recession to Hit America Within Next 4 Years, Obamacare Enrollment to See 'Significant Slowdown' Next Year, Galaxy Count May Now Top 2 Trillion Across Universe, Dick Morris: Don't Listen to Doom and Gloom - Trump Can Still Win, Navy Secretary Defends Removing 'Man' From Job Titles," Heart Devices Pose Life-Threatening Risk, CDC Warns", New Emails Reveal Clinton's 'Cordial Relationship' With Loretta Lynch, Michelle Obama: Trump Comments on Women 'Intolerable', Christian Leaders Decry Clinton Camp for 'Christophobic' Behavior
10/12/2016,0," Fox News: Decision to Not Prosecute Hillary Left FBI, DOJ Disgusted", NY Post: Saddam Torture Chamber Hidden in Basement of NYC Mission, Putin Vents at US for 'Hysteria' Over Hacking Blamed on Russia," Florida's Zika Total Tops 1,000 Cases", Wells Fargo CEO Stumpf Steps Down After Fake Accounts Scandal, Poll: White and Black Americans Widely Divided on National Anthem Protests, Iranians Now Watching US Presidential Debates and 'House of Cards' as Guide to America, Minnesota's Dem Gov. Mark Dayton: Obamacare 'No Longer Affordable'," David Stockman: Brace for Hillary Impeachment, Recession, Market Collapse in 'Nasty' New Year", Lawmakers Suspect American Navy Attack Possibly Funded by US Cash to Iran," Tim Tebow Comforts, Prays With Sick Fan", Larry King Reveals The Pill That Reversed His Diabetes Naturally," National Anthem Singer Pulls a 'Kaepernick,' Drops to One Knee", Immunotherapy Drug Beats Chemo Against Lung Cancer, Former Miss Teen USA Contestants: Trump Walked Into Our Dressing Rooms, Judge Extends Florida Voter Registration Deadline Six Days, Study: Obamacare Penalizes People for Getting Full-Time Job," ISIS Exploding Drones, Like Toy Planes, May Target Americans", NC Gov. Pat McCrory Says He and Wife Have Lost Friends Over HB2, Holiday Weight Gain Takes 5 Months to Lose: Study
10/11/2016,0," Fox News: Obama, Sec. Clinton Used Arms Dealer as Scapegoat", McDonald's: Ronald McDonald Keeping a Lower Profile, 49ers Name Colin Kaepernick Starting Quarterback, Court Ruling Forces Florida to Extend Voter Registration After Hurricane Matthew, Feds to Bring Criminal Contempt Charges Against Arpaio, Billy Bush in Talks to Leave NBC Over Trump Tape," CNN Anchor Cuts Interview With Trump Spokesperson, Conversation 'Going Nowhere'"," WikiLeaks: Clinton Official, DOJ Conferred on Open Records Lawsuits", WikiLeaks: State Dept. Told Clinton What Emails it Was About to Release, Rolling Stone Accuses UVa Administrator of Leaking Videos, Report: Mexico Silently Helping Haitian Illegal Immigrants to Enter US, Can Gene Therapy Treat Alzheimer's Disease?, Obama: We'll Send Americans to Mars by the 2030s," Extreme Exercise, Anger May Trigger Heart Attack", War Talk Returns to Russian TV as US Ties Hit Deep Freeze, WHO Urges Countries to Raise Taxes on Sugary Drinks," Samsung Kills Galaxy Note 7 After Global Recall, New Fires", Ted Cruz Asks Why NBC Didn't Release Trump Tapes Earlier, US Troops Rammed in Kuwait Pulled Attacker from Truck, Pope Francis Names 17 Cardinals: 3 of Them USA Liberals
10/10/2016,0, Nancy O'Dell: Even the Locker Room No Excuse for Trump, Ginsburg: Colin Kaepernick's National Anthem Protest Is 'Dumb'," PSA Testing: Life Saver for Ben Stiller, Other Prostate Cancer Survivors", Religious Investors Lose Faith in Wells Fargo After Scandal, Samsung Halts Galaxy Note 7 Smartphone Production Amid Ongoing Fire Risk, Matthew's Punch Still Delivers Pain to North Carolina, Commercial Bankruptcies Soar 38% as Debt Crushes Businesses," Oliver Hart, Bengt Holmstrom Win Nobel Prize in Economics", 2 Missiles Fired From Rebel-Held Yemen Hit Close to US Destroyer, Edward Klein: Obama Himself Scripted Bill Clinton's Attack on Healthcare Plan, Tic Tacs Fear the Economic Halitosis from Trump Tape, NFL Blames 'Unprecedented Interest' in Election for Ratings Drop, AP: Any Footage of Trump's Off-Air 'Apprentice' Talk Tightly Under Wraps, Kathleen Parker: 'Dangerous' Thinking at Elon University, Paul Ryan Booed by Trump Backers Over Tepid Support, George Will: Vladimir Putin Is Bringing Back the 1930s," Hurricane Matthew Slams into S. Carolina, Diminished but Still Dangerous", Scottish Historian Finds 'Hitler's First Autobiography', Hurricane Matthew Downgraded to Cat. 1 in Approach to Carolinas, US Forces Increasing Iraq Footprint Ahead of Mosul Operation
10/7/2016,1, Mylan Agrees to $465 Million EpiPen Settlement With US, Hillary Told Bankers 'I Favor Open Borders' in Speeches Leaked by Wikileaks, RNC's Priebus Slams Trump Sex Tape, WashPost: Trump Talks of Groping Women in 2005 Conversation, Larry Kudlow: Democratic Party Has Moved Too 'Far to the Left'," Russia Hints at Reclaiming Cuba, Vietnam Bases in Test for US", Burke Ramsey Files Defamation Suit After Expert Said Brother Killed JonBenet, US Accuses Russia of Hacking Attempts on Political Groups, Pope Saddened by News of Lesbian Nuns Marrying," Archbishop Desmond Tutu, 85, Says He May Seek Assisted Suicide", Infowars: Leaked Email Shows Clinton Foundation in Touch With John Oliver, Planned Parenthood to Spend $30M in Effort to Woo Millennial Voters, Sarah Palin Blasts Smithsonian for 'Inexplicable' Clarence Thomas Snub, General Petraeus: Syria 'Humpty Dumpty' May Never Unify, Clinton Critics Subject Foundation to Scrutiny Over 2010 Haitian Relief, Oats Reduce Cholesterol Better Than Previously Thought, Former Teen Actress Asks Federal Court to Revive Cosby Lawsuit, Report: Over 6 Million Citizens Denied Voting Rights Because of Felonies, New Documents Show Top Obama Officials Collaborated on Clinton Email Issue," Job Growth Slows, Clouds Case for Fed Rate Hike"
10/6/2016,1, NYT: Obama Admin. Delaying 56K Deportations to Save Money, Report: State Pension Systems Were Underfunded $1.2 Trillion in 2015, AP: Barely Half of Illegal Border Crossers Caught, Former Aide Takes Back Christie 'Flat out Lied' Comments, John Zogby: Obama's Approval Rating up Because of Successes, 44 Afghan Troops Training in US Have Gone Missing Since 2015: Report," Obama Accelerates Commutations, Shortens Sentences for 102 More Federal Inmates", Kagan Praises Scalia at Law School Renaming Ceremony, Kagan Praises Scalia at Law School Renaming Ceremony, US Accuses Mylan of Overcharging Medicaid for EpiPens, Greenspan: US Faces Entitlement Reform Shock, Politico: Speaker Ryan to Repeal Obamacare If Trump Wins, George Soros: Russia Must End Atrocities in Syria, Taxpayers Pay $500 Million a Year for Obama's PR Staffers, Bruce Springsteen 'Admires' Kaepernick's National Anthem Snub, Free Beacon: Obama Administration Keeping Iran Deal Docs at Secure Site," Theranos Closing Labs, Laying Off Hundreds After Federal Ban", Shahriar Kia: The Next President Has a Serious Call to Make on Iran Policy, Twitter Shares Plunge on Report Bidders Are Scarce, Obama Warns Against Taking Dramatic Steps That Could Harm Economy
10/5/2016,1, Hannity: Megyn 'Clearly' Supports Hillary, Clinton Foundation Refiles Tax Returns After Public Scrutiny, WSJ: Trump's History of Donating to Attorneys General, Report: Russian Warhead Arsenal Increased in Last Six Months, Obama: Paris Climate Deal a 'Historic Day', State Dept. Releases 200 Pages of Clinton Foundation Emails, 1990 Video Shows Young Obama in Kenya Visiting His Father's Family, McCain: Stop Assad Now; Plan New Strategy for Syria, FBI Arrests NSA Contractor in Hacking Probe, Security Council Agrees on Portugal's Guterres Next UN Chief, Report: Medicare Paid $9.3 Million to Nearly 500 Illegal Immigrants, US: Millions More May Be Eligible for Obamacare Help, IMF: Global Debt Surges to Record High $152 Trillion, US Aims to Wipe Out Traffic Deaths in 30 Years, 3 Win Nobel Chemistry Prize for World's Tiniest Machines, Synthetic Alcohol Could Eliminate Hangovers, Toxins Remain in Home Long After Smokers Quit, Syria Missile System Deployed by Russia Takes Air Out of US Options, Many in Spain Happy Without Elected Officials, NJ Transit Audit by Feds Found 'Dozens of Safety Violations'
10/4/2016,1, Report: 49ers Players Want Kaepernick Back as Starter, Gen. Milley: Our Enemies 'Went to School on Us' And Will Test Us in The Future, Report: Continued Delays for Veterans at Phoenix VA System, Mike Pence to Dr. James Dobson: Trump Administration Will Protect Religious Liberty, Obama Mulling Air Strikes on Syria, Reuters Poll: More Americans Think Avoiding Taxes 'Selfish' and 'Unpatriotic' - Not 'Smart', Kentucky Gov. Urges Ministers to Preach Politics From Pulpit, USDA to Pay Farmers More Than $7 Billion Due to Low Crop Prices, Yahoo Secretly Scanned Customer Emails for US Intelligence, Hurricane Matthew Could Boost Zika's Spread: Officials," UC Irvine Health Cutting 175 Jobs, Citing Obamacare Pressures"," Christie, Cuomo Agreed on False Bridge Report, Witness Says"," How to Hack Your Medicare Costs, With a Retirement Guru's Help", Mylan: Cheaper EpiPen May Not Come Until End of Year," Google Challenges Apple With New Pixel Phone, Home Assistant", Clinton's Tech Staff Required Security 'Credentials' to Manage Emails, Sen. Jeff Flake: 'Nobody Really Believes' SCOTUS Seat Should Stay Vacant, CIS: Record 42.4M Immigrants Living in US, Court Rejects Pence's Efforts to Prevent Syrian Refugees From Resettling, UK Scientists Hopeful HIV 'Cure' Close
10/3/2016,0, Bill to Help Veterans in Crisis Goes Cold in Senate, Fox News: Russia Sends Anti-Missile System to Syria, WikiLeaks Founder Preps 'October Surprise' Via Video Tuesday," Army Secretary: Drawdown, Russia and ISIL Stretch Us 'Very Thin'", Pope: Gender Identity Teaching in Schools Is 'Against Nature', Ed Klein Book Excerpt: 'High Noon in the Oval' Over Hillary Email Probe, US Suspends Contacts with Russia on Syria, Unions to Obama: Approve Dakota Access 'Without Delay', House Demands Info on EpiPen Profit Margins, Supreme Court Turns Away Redskins Appeal in Trademark Case, Putin Suspends Weapons-Grade Plutonium Deal With US, Pentagon: US Targets 'Prominent Al-Qaida Member' in Syria Airstrike, Tenet Healthcare to Pay More Than $513 Million Over Fraud Scheme, Poll: Most Voters Worried About Terror Attacks in US, 'SNL' Hits Hard on Politics to Open 42nd Season, Ginsburg: I'll Retire 'When It's Time', 4 States Confirm They Will Have Only 1 Obamacare Insurer, US Supreme Court Denies Obama Request to Rehear Major Immigration Case, Watch for These Heart Attack Signs in Women, Omega-3 Fatty Acid Could Stop Lupus Trigger: Study
9/30/2016,1, 2016 Jack Nicklaus Course Picked to Thwart North Korean Missiles, 2016 Report: FBI Investigating Voter Fraud in Va. Using Dead People's Names, 2016 Kudlow: Trump Has a Prosperity Plan Hillary Offers a Recession Blueprint, 2016 Christie Proposes 23-Cent Gasoline Tax Increase for N.J., 2016 Report: Roger Ailes Secretly Buys $36M Beachfront Home in Florida, 2016 Russia Sending More Warplanes to Syria Diplomacy 'on Life Support', 2016 White House Snafu: Obama Transcript Puts Jerusalem in Israel, 2016 DHS FBI: Hackers Targeted Election Systems of 20 States, 2016 NBA's Joakim Noah Refuses to Eat With West Point Cadets, 2016 Report: FBI Surveillance Has Decreased Since Snowden Leaked Details, 2016 Newt Gingrich: Miss Universe Fiasco is Hillary's 'New Benghazi Lie', 2016 Jeb Bush: Kennedy Daughter Saying Dad Supports Hillary Was 'Inappropriate', 2016 Dead Veterans Left to 'Decompose' in Illinois VA Morgue for Weeks, 2016 Carnegie Deli to Close: NYC Pastrami Institution Opened in 1937, 2016 14-Year-Old Boy Charged in Father's Killing School Shooting, 2016 Alabama Justice Removed From Bench for Defying Feds on Gay Marriage, 2016 Report: Obama Operatives Stripped Judicial Watch of Media Status, 2016 Hurricane Matthew Is Now Something for US to Worry About, 2016 Jeh Johnson: Decentralized Systems Should Keep US Elections Safe, 2016 Black Killed by El Cajon Cops Was Supposed to Be Deported - Twice
9/29/2016,0, 2016 Birth Control Pills Tied to Depression, 2016 Zika-Related Birth Defects Underestimated: Experts, 2016 Report: Trump's Foundation Didn't Get Certification, 2016 Bill O'Reilly: No 'Rational Muslim' Offended at Words 'Islamic Terrorism', 2016 Saudis Warn of 'Disastrous Consequences' Over US 9/11 Law, 2016 Obama Flies to Israel for Shimon Peres Memorial Service, 2016 Trump: I Have a 'Very Good History' in Marriage, 2016 USA Today: Trump 'Unfit for Presidency', 2016 Republicans Slam Clinton for Lucrative Deutsche Speeches as Firm Slumps, 2016 Michael Reagan: Expect High-Level FBI Resignations Over Comey, 2016 Christie 'Enforcer' Ignored Missing-Child Report Amid Jams, 2016 Ex-CIA Director General Pins ISIS on Former Iraq P.M. al-Maliki, 2016 In Massive Overhaul Navy Removes 'Man' From Most Enlisted Titles, 2016 Wash. Post: Obama May Bypass Congress to Pay Health Insurers, 2016 Pitcher Jose Fernandez's Jersey Stolen During High School Vigil, 2016 40 More Republicans Independents Back Hillary, 2016 Former NY Times Court Reporter: Scalia's Death Was 'Good for Democracy', 2016 Christie's Future in Trump Administration at Stake in Bridgegate Trial, 2016 ISIS Releases Alphabet Coloring Book, 2016 McConnell Ryan Admit Saudi 9/11 Bill Needs Fixing
9/28/2016,0, 2016 Military Vets Ask Obama Hard Questions at Town Hall, 2016 Alien Life? Scientists Baffled by Radio Signals in Deep Space, 2016 Congress Passes Funding Bill; Averts Government Shutdown, 2016 He or She or Ze? Michigan Students Given Choice of Own Personal Pronouns, 2016 Investigators Identify 2 Men Who Took Bag That Held NYC Bomb as Egyptian, 2016 Feeling Threatened French Jews Immigrate to Israel, 2016 Peter King on 9/11 Bill: Families Can Only Sue Saudis for Money Not Jail, 2016 FBI Director Comey Defends Hillary Email Probe: 'We Are Not Weasels', 2016 Sheriff David Clarke Detains Drunk Passenger on Flight, 2016 Ex-Fox Anchor's Doctor Backs Sexual Harassment Claims Against Ailes, 2016 Failing Obamacare Nonprofit Co-Ops Add to 'Death Spiral' Fears, 2016 Christie’s Firing of Democrats Spotlighted at Bridge Trial, 2016 California Eyeing Cosby Ends Statute of Limitations for Rape, 2016 Obama Says 9/11 Legislation Sets 'Dangerous Precedent', 2016 Fox News Andrea Tantaros Disagree Over Whether Settlement Exists, 2016 FBI Director: More 'Attempted Intrusions' in Voter Databases, 2016 Alec Baldwin Is 'Saturday Night Live's' New Donald Trump, 2016 GOP Lauds Obama's 9/11 Veto Override: 'Righting That Terrible Wrong', 2016 Newt: Comey Would Have Covered Up Watergate, 2016 Sens. John McCain Lindsey Graham Mock John Kerry's Russia Threat
9/27/2016,1, 2016 Arizona Republic Endorses First Democrat in 126 Years: Hillary Clinton, 2016 Former Miss Universe: Trump Was a 'Bad Person With Me', 2016 Israeli Ex-President Shimon Peres Dies, 2016 Pepe the Frog Ruled 'Hate Symbol' By Anti-Defamation League, 2016 Jeb Bush Headed to Harvard to Teach Lecture During Fall Semester, 2016 Shimon Peres: Former Israeli President 'Fighting for His Life', 2016 Obama's Climate Legacy Under Fire as Power Plan Faces Test, 2016 GOP Senate Unlikely to Confirm Cuba Ambassador, 2016 Under Fire Globally Facebook Insists It Takes Terroristic Threats Seriously, 2016 Christie Laughed as Bridge Plot Unfolded Star Witness Says, 2016 US to Deploy Anti-missile System in S.Korea 'As Soon as Possible', 2016 Gregg Popovich on Anthem Protests: Don't Tell Players How To Think, 2016 Obama Nominates Career Diplomat as US Ambassador to Cuba, 2016 Price-Gouging Drug Czar Selling Chance to Punch Him in Face, 2016 Report: Imprisoned Vets Have Collected More Than $100 Million, 2016 Marines Poised to Ditch Iconic 'The Few The Proud' Slogan, 2016 Charlotte Shooting Victim's Wife Said he Threatened Family: Court Papers, 2016 Stroke Signs to Look For, 2016 'Dilbert' Cartoonist: Was Hillary Drugged During Debate?, 2016 First Baby Born with DNA from 3 People
9/26/2016,1, 2016 Trump: Quiet on Clinton Scandals Out of Respect for Chelsea, 2016 Hofstra Misspells Hillary's Name on Souvenir Debate Tickets, 2016 'Modern Family' Episode Will Feature Transgender Child Actor, 2016 Report: Obamacare Raked $1.8B From Uninsured in First Year of '14, 2016 Tiger Woods Solicited Meeting With Hillary After Marriage Began to Crumble, 2016 Politico: Ed Meese on Trump Transition Team, 2016 Hubble Spots Possible Water Plumes on Jupiter Moon Europa, 2016 Report: Up to 40% of VA Crisis Hotline Calls Are Ignored, 2016 More US Babies Born Addicted to Opiates like Heroin, 2016 Are IRA Cash Accounts No Longer Considered Money?, 2016 More Homegrown Zika Found in Florida, 2016 Glenn Beck Regrets Ted Cruz Endorsement, 2016 Senate Sets Wednesday Vote on Obama Veto of Saudi 9/11 Bill, 2016 Watch Dick Morris Michael Reagan on Newsmax TV's Post-Debate Special Tonight, 2016 LeBron Supports Kaepernick but Will Stand During Anthem, 2016 US Awards $20 Million for Body Cameras to 106 Police Departments, 2016 Report: 57% of Clinton Charity Money in 2015 Went to Clinton Foundation, 2016 Saudi Arabia: End Male Guardianship of Women Hundreds Implore, 2016 John Stumpf Wells Fargo CEO Could Walk Away with $200 Million, 2016 Disney Said to Be Working With Adviser on Potential Twitter Bid
